stars,forks,watchers,open_issues,size
2887,304,2887,1,340
2887,205,2887,197,32
2886,638,2886,0,52933
2886,608,2886,28,7086
2886,578,2886,20,3667
2886,268,2886,51,2811
2886,170,2886,22,38
2886,203,2886,18,2016
2886,283,2886,28,3051
2886,124,2886,59,179946
2886,268,2886,861,172138
2885,1120,2885,35,53881
2885,2897,2885,69,196801
2885,466,2885,2,14891
2885,349,2885,87,6201
2885,282,2885,4,31100
2885,173,2885,36,7954
2885,444,2885,11,3692
2885,237,2885,18,73019
2884,327,2884,11,93
2884,4494,2884,249,2373
2884,584,2884,79,5188
2884,237,2884,27,1007
2883,98,2883,50,93047
2883,214,2883,0,140
2883,364,2883,44,468
2883,377,2883,3,20714
2883,472,2883,205,6237
2883,251,2883,20,3417
2883,1873,2883,99,57813
2882,514,2882,83,1227
2882,664,2882,99,109098
2882,911,2882,23,4333
2882,236,2882,0,59
2882,280,2882,52,1122
2882,2189,2882,80,265851
2882,563,2882,97,25457
2882,283,2882,11,135
2882,486,2882,155,747032
2881,681,2881,2,3572
2881,570,2881,2,8077
2881,148,2881,10,730
2881,1352,2881,167,16776
2881,402,2881,6,1432
2881,380,2881,11,183
2880,196,2880,18,55607
2880,319,2880,152,11824
2880,226,2880,47,9364
2879,347,2879,17,35158
2879,1312,2879,414,59161
2879,252,2879,141,8242
2879,695,2879,87,15076
2879,406,2879,42,888
2879,122,2879,1,2543
2878,277,2878,29,239
2878,939,2878,40,827
2878,296,2878,28,190161
2878,910,2878,190,6052
2878,135,2878,14,1014
2878,324,2878,85,2426
2878,1191,2878,1,63
2878,315,2878,63,9355
2878,541,2878,36,31012
2878,411,2878,1,16521
2878,389,2878,324,4136
2877,508,2877,12,59548
2877,893,2877,20,5408
2877,471,2877,26,47037
2877,1970,2877,315,55291
2877,293,2877,9,1619
2877,1301,2877,652,513892
2877,1077,2877,358,1869
2877,656,2877,22,3541
2877,324,2877,14,92867
2877,299,2877,4,83
2876,69,2876,15,5613
2876,301,2876,34,24034
2876,1145,2876,18,1563772
2876,354,2876,82,1534
2876,285,2876,210,826
2876,230,2876,73,136
2875,448,2875,19,102736
2875,576,2875,9,48858
2875,454,2875,42,4952
2875,254,2875,1,78
2874,551,2874,17,6464
2874,505,2874,86,1019
2874,200,2874,19,4209
2874,204,2874,4,1681
2874,413,2874,9,5355
2874,579,2874,11,6200
2873,150,2873,25,485
2873,257,2873,107,3235
2873,469,2873,2,86296
2873,513,2873,770,24484
2873,615,2873,22,12913
2872,479,2872,38,64
2872,915,2872,576,34814
2872,500,2872,9,173
2872,518,2872,299,13320
2872,555,2872,7,10450
2871,137,2871,20,1814
2871,563,2871,2,178
2871,360,2871,16,104
2871,321,2871,233,13690
2871,118,2871,115,15442
2871,165,2871,18,301
2871,1239,2871,35,103957
2871,278,2871,171,218590
2870,473,2870,14,1796
2870,759,2870,323,802597
2870,4831,2870,60,281847
2870,374,2870,17,93702
2870,224,2870,102,5110
2870,514,2870,1,67155
2870,138,2870,15,13282
2869,873,2869,44,38671
2869,68,2869,4,471
2869,625,2869,67,3884
2869,170,2869,30,190331
2869,726,2869,2,3489
2869,182,2869,40,7930
2869,209,2869,9,17128
2868,599,2868,15,29
2868,413,2868,1,4356
2869,38,2869,1,558
2868,1534,2868,310,9433
2867,107,2867,23,5161
2867,1723,2867,213,327336
2867,119,2867,7,3926
2867,245,2867,5,135
2866,219,2866,44,431
2866,297,2866,0,28899
2866,151,2866,3,2871
2866,310,2866,119,22346
2866,388,2866,46,2177
2866,142,2866,51,7560
2866,701,2866,64,119017
2865,50,2865,5,90
2865,163,2865,46,172
2865,280,2865,14,96
2865,465,2865,44,8973
2865,580,2865,28,1271
2865,215,2865,14,577
2865,121,2865,15,91
2864,485,2864,12,78760
2864,488,2864,22,1378
2864,1616,2864,65,516772
2864,420,2864,72,9222
2864,585,2864,22,301
2864,188,2864,269,21667
2863,485,2863,391,37755
2863,734,2863,60,12378
2863,1150,2863,7,226401
2863,576,2863,2,28541
2863,446,2863,62,225108
2863,922,2863,101,1693
2863,666,2863,154,1880
2862,997,2862,53,34157
2862,241,2862,44,3609
2862,6104,2862,0,13352
2862,700,2862,7,427398
2862,591,2862,69,10464
2861,1032,2861,102,3182
2861,247,2861,8,882
2861,267,2861,21,21143
2861,996,2861,5,11799
2861,808,2861,27,159964
2861,411,2861,65,1574
2861,87,2861,40,1700
2861,1232,2861,792,27373
2860,497,2860,3,16705
2860,469,2860,20,36
2860,499,2860,77,3865
2860,421,2860,153,400
2859,1208,2859,20,4162
2859,139,2859,14,551
2859,477,2859,37,2035
2858,1118,2858,101,7008
2858,2992,2858,100,933722
2858,93,2858,1,4790
2858,441,2858,12,12222
2858,398,2858,462,161683
2857,733,2857,1,545
2857,136,2857,14,742
2857,402,2857,15,2219
2857,537,2857,42,31012
2857,542,2857,76,253
2857,589,2857,2019,210046
2856,189,2856,175,285444
2856,397,2856,14,12008
2856,1042,2856,2,5571
2856,398,2856,37,386
2856,440,2856,13,411
2856,113,2856,58,4404
2856,658,2856,25,488956
2855,246,2855,66,105554
2855,857,2855,193,2114
2854,767,2854,39,2394
2854,652,2854,5,9598
2854,526,2854,163,2194
2854,391,2854,76,17717
2854,504,2854,10,514
2854,580,2854,21,106970
2854,362,2854,106,11948
2853,178,2853,9,113
2853,120,2853,0,12158
2853,223,2853,13,1058
2853,716,2853,7,1866
2853,606,2853,37,240
2853,81,2853,18,1512
2853,558,2853,5,2178
2853,803,2853,5,2429
2852,100,2852,10,718
2852,624,2852,150,3309
2851,795,2851,48,668
2851,253,2851,79,319
2851,265,2851,215,75406
2851,739,2851,0,38
2851,587,2851,0,895
2850,154,2850,0,67
2850,147,2850,9,3804
2850,1509,2850,440,727
2850,1554,2850,0,1453
2850,531,2850,120,5210
2849,255,2849,7,180553
2849,428,2849,807,75536
2849,227,2849,1,11668
2849,175,2849,27,2641
2849,203,2849,2,236560
2849,312,2849,1,331
2848,777,2848,66,37085
2848,538,2848,17,10957
2848,355,2848,9,7433
2848,207,2848,33,2578
2848,705,2848,35,7849
2847,707,2847,12,33008
2847,591,2847,65,333
2847,342,2847,6,232
2847,555,2847,3,1037
2847,388,2847,5,52228
2847,162,2847,60,10244
2847,491,2847,47,14039
2847,144,2847,3,2659
2846,714,2846,4,303292
2846,220,2846,278,93848
2846,912,2846,6,310
2846,382,2846,25,10234
2845,691,2845,4,35326
2845,425,2845,116,20057
2845,281,2845,14,9892
2845,1270,2845,82,5657
2845,301,2845,20,158727
2845,230,2845,29,180
2845,464,2845,13,60
2845,478,2845,0,136495
2844,285,2844,26,3573
2844,1089,2844,50,34
2844,107,2844,66,938
2844,105,2844,7,6919
2844,142,2844,15,483
2843,220,2843,14,139
2843,777,2843,84,17421
2843,341,2843,1,244
2843,458,2843,6,1123
2843,485,2843,27,25934
2843,607,2843,37,28220
2843,558,2843,90,170435
2843,838,2843,194,34071
2843,242,2843,31,200
2842,284,2842,304,58933
2842,257,2842,10,14079
2842,369,2842,15,133027
2842,354,2842,73,5866
2842,240,2842,155,3572
2842,131,2842,0,642
2841,77,2841,20,42
2841,417,2841,1,238412
2841,599,2841,31,300
2841,327,2841,95,14252
2841,195,2841,35,2230
2840,113,2840,19,47678
2840,384,2840,43,31041
2840,342,2840,56,11303
2840,384,2840,16,404
2840,559,2840,217,2731
2840,798,2840,9,1194
2840,341,2840,58,6011
2840,1665,2840,4,148439
2840,250,2840,23,2883
2839,216,2839,14,229
2839,241,2839,4,157152
2839,826,2839,31,36806
2839,121,2839,0,99
2839,396,2839,211,423
2839,183,2839,159,30724
2838,578,2838,43,4091
2838,465,2838,19,221
2838,321,2838,0,3136
2838,427,2838,9,407
2837,1010,2837,8,52071
2837,192,2837,129,20141
2837,575,2837,118,11938
2837,929,2837,22,240
2837,369,2837,17,11129
2837,164,2837,21,4035
2837,354,2837,4,242
2837,49,2837,16,851
2836,288,2836,16,1472
2836,260,2836,2,609
2836,2600,2836,31,3073
2836,66,2836,50,417
2835,376,2835,236,319504
2835,539,2835,79,43631
2835,797,2835,159,13611
2835,139,2835,161,12694
2835,718,2835,421,7823
2835,1210,2835,50,46670
2835,1005,2835,689,150088
2834,155,2834,445,52239
2834,929,2834,43,383202
2834,1075,2834,20,838
2834,985,2834,1399,126007
2834,187,2834,17,1264
2833,729,2833,10,136
2833,145,2833,45,26028
2833,293,2833,48,27
2833,533,2833,86,56
2833,361,2833,66,123
2833,248,2833,112,3813
2832,383,2832,91,63094
2832,773,2832,2,3902
2832,984,2832,51,19907
2832,239,2832,33,273
2832,133,2832,25,83
2832,180,2832,12,8980
2831,230,2831,43,2587
2831,240,2831,5,72742
2831,443,2831,206,1128
2831,1121,2831,21,2862
2830,1055,2830,21,24863
2830,700,2830,115,629
2830,558,2830,25,56
2830,459,2830,138,14276
2830,1107,2830,341,317585
2830,238,2830,50,5957
2829,615,2829,0,189
2829,488,2829,10,8591
2829,146,2829,12,757
2829,859,2829,394,164161
2829,306,2829,59,225627
2829,307,2829,212,75485
2828,95,2828,74,311
2828,171,2828,104,13095
2828,457,2828,16,26407
2828,375,2828,3,17
2828,367,2828,39,6711
2828,150,2828,77,146909
2827,222,2827,3,3321
2827,173,2827,33,1566
2827,210,2827,10,60
2827,359,2827,47,64032
2827,171,2827,16,9133
2827,278,2827,27,12635
2827,421,2827,31,84300
2827,938,2827,132,2194
2826,341,2826,72,8634
2826,62,2826,13,1138
2826,282,2826,12,2380
2826,716,2826,208,9305
2826,551,2826,12,32164
2826,949,2826,11,9788
2825,732,2825,64,152200
2825,144,2825,35,1069
2825,736,2825,54,109252
2825,415,2825,5,2666
2825,150,2825,28,611
2824,577,2824,124,13683
2824,450,2824,108,2507
2824,2691,2824,78,52354
2824,799,2824,89,2372
2824,578,2824,265,7588
2824,700,2824,171,325209
2824,492,2824,11,887
2823,416,2823,127,15834
5000,1033,5000,183,86561
5000,904,5000,3,146665
5000,354,5000,71,462183
5000,459,5000,8,10975
4999,1835,4999,19,39
4999,414,4999,101,92337
4999,682,4999,66,1479
4998,1219,4998,4,135
4998,1893,4998,59,17735
4998,428,4998,0,85
4998,808,4998,54,6790
4997,295,4997,71,2131
4997,832,4997,33,6146
4996,300,4996,28,40
4996,1012,4996,124,23346
4996,413,4996,0,300
4995,890,4995,129,47485
4994,713,4994,73,2897
4993,683,4993,135,10281
4993,1964,4993,55,5679
4992,237,4992,21,506
4992,667,4992,4,1028
4991,1310,4991,3,2560
4991,467,4991,22,1160
4990,1159,4990,3,15553
4989,3774,4989,14,765
4988,1592,4988,152,87861
4988,800,4988,30,1026
4988,727,4988,22,312
4988,550,4988,8,7878
4987,891,4987,391,7330
4987,1000,4987,43,4650
4987,275,4987,55,13480
4987,554,4987,146,2858
4984,549,4984,0,4882
4984,1383,4984,106,46830
4983,384,4983,86,9398
4982,828,4982,110,1947
4981,625,4981,8,185544
4981,1863,4981,34,5298
4979,1171,4979,289,8108
4979,619,4979,1,203
4978,289,4978,8,27763
4978,584,4978,49,29694
4978,693,4978,70,6490
4978,327,4978,2,201
4977,843,4977,196,63951
4977,1213,4977,73,1142
4976,4581,4976,51,12831
4975,628,4975,54,54
4974,11222,4974,1383,496896
4973,1483,4973,290,14190
4973,620,4973,51,1931
4973,834,4973,324,69549
4973,357,4973,5,5310
4972,722,4972,79,7077
4972,533,4972,5,2243
4972,373,4972,43,1603
4972,426,4972,117,18526
4971,3084,4971,4,4551
4971,1872,4971,68,3388
4971,2513,4971,58,83921
4970,1373,4970,109,19704
4969,290,4969,233,13764
4969,638,4969,8,5265
4969,198,4969,18,8807
4967,1047,4967,206,10170
4967,1084,4967,17,494
4966,183,4966,45,16953
4966,82,4966,4,160
4963,1332,4963,1257,95260
4963,731,4963,77,2196
4962,855,4962,588,194420
4962,598,4962,16,20225
4961,1860,4961,2664,467210
4960,627,4960,6,83050
4960,1145,4960,20,3636
4958,623,4958,15,72125
4956,812,4956,2,68582
4955,437,4955,91,10279
